NAME                       IMAGE                                 COMMAND                  SERVICE                CREATED        STATUS                  PORTS
dbh_appointment_service    dbh-ehr-system-appointment_service    "dotnet DBH.Appointm"   appointment_service    11 hours ago   Up 11 hours (healthy)   0.0.0.0:5007->5007/tcp, [::]:5007->5007/tcp
dbh_audit_service          dbh-ehr-system-audit_service          "dotnet DBH.Audit.Se"   audit_service          11 hours ago   Up 11 hours (healthy)   0.0.0.0:5005->5005/tcp, [::]:5005->5005/tcp
dbh_auth_service           dbh-ehr-system-auth_service           "dotnet DBH.Auth.Ser"   auth_service           11 hours ago   Up 11 hours (healthy)   0.0.0.0:5101->5101/tcp, [::]:5101->5101/tcp
dbh_consent_service        dbh-ehr-system-consent_service        "dotnet DBH.Consent."   consent_service        11 hours ago   Up 11 hours (healthy)   0.0.0.0:5004->5004/tcp, [::]:5004->5004/tcp
dbh_ehr_service            dbh-ehr-system-ehr_service            "dotnet DBH.EHR.Serv"   ehr_service            11 hours ago   Up 11 hours (healthy)   0.0.0.0:5003->5003/tcp, [::]:5003->5003/tcp
dbh_gateway                dbh-ehr-system-gateway                "dotnet DBH.Gateway."   gateway                11 hours ago   Up 11 hours (healthy)   0.0.0.0:5000->5000/tcp, [::]:5000->5000/tcp
dbh_ipfs                   ipfs/kubo:release                     "/sbin/tini -- /usr/"   ipfs                   11 hours ago   Up 11 hours (healthy)   0.0.0.0:4001->4001/tcp, [::]:4001->4001/tcp, 0.0.0.0:5001->5001/tcp, 0.0.0.0:4001->4001/udp, [::]:5001->5001/tcp, [::]:4001->4001/udp, 0.0.0.0:8880->8080/tcp, [::]:8880->8080/tcp
dbh_notification_service   dbh-ehr-system-notification_service   "dotnet DBH.Notifica"   notification_service   11 hours ago   Up 11 hours (healthy)   0.0.0.0:5006->5006/tcp, [::]:5006->5006/tcp
dbh_organization_service   dbh-ehr-system-organization_service   "dotnet DBH.Organiza"   organization_service   11 hours ago   Up 11 hours (healthy)   0.0.0.0:5002->5002/tcp, [::]:5002->5002/tcp
dbh_payment_service        dbh-ehr-system-payment_service        "dotnet DBH.Payment."   payment_service        11 hours ago   Up 11 hours (healthy)   0.0.0.0:5008->5008/tcp, [::]:5008->5008/tcp
dbh_pg_primary             postgres:15-alpine                    "docker-entrypoint.s"   pg_primary             11 hours ago   Up 11 hours (healthy)   0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp
dbh_rabbitmq               rabbitmq:3.12-management-alpine       "docker-entrypoint.s"   rabbitmq               11 hours ago   Up 11 hours (healthy)   0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp
dbh_redis                  redis:7-alpine                        "docker-entrypoint.s"   redis                  11 hours ago   Up 11 hours (healthy)   0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp
